,Precision,Recall,F1-Score
A,0.5689655172413793,0.23404255319148937,0.3316582914572864
B,0.8856181665264928,0.837375745526839,0.8608215818516247
C,0.8060948952038061,0.8574750376145535,0.8309915164369035
D,0.734354066985646,0.7359033371691599,0.7351278858128173
E,0.6837136113296617,0.5972508591065292,0.6375641966250917
F,0.6406926406926406,0.5034013605442177,0.5638095238095238
G,0.746031746031746,0.6438356164383562,0.6911764705882353
